"","success","goal_adj","country","category","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline_weekday","created_at_weekday","launched_at_weekday","deadline_month","deadline_yr","created_at_month","created_at_yr","launched_at_month","launched_at_yr","create_to_launch_days","launch_to_deadline_days","avg_pledge"
"15500",0,10251.6206825563,"US","Other",7,6,18,15,"Monday","Monday","Monday","12","2015","10","2015","11","2015",42,14,0
"15501",0,88129.2332010436,"US","Other",2,2,22,13,"Friday","Monday","Wednesday","3","2015","2","2015","2","2015",1,30,1.03681450824757
"15502",0,51378.3374041944,"US","Other",9,7,23,15,"Friday","Thursday","Wednesday","9","2014","7","2014","8","2014",19,30,75.946524199291
"15503",0,5664.54638313678,"US","Other",3,3,20,13,"Friday","Thursday","Friday","6","2014","4","2014","5","2014",14,35,0
"15504",0,101626.398890467,"US","Other",7,6,20,14,"Saturday","Friday","Tuesday","9","2016","6","2016","7","2016",39,60,834.239816669744
"15505",0,51370.1168009836,"US","Other",5,5,21,14,"Wednesday","Wednesday","Monday","8","2014","7","2014","7","2014",5,30,51.8838179689934
"15506",0,56021.4479226238,"US","Other",3,3,23,16,"Wednesday","Friday","Monday","6","2016","5","2016","5","2016",2,30,0
"15507",0,82722.3107434654,"US","Other",8,7,29,15,"Friday","Monday","Wednesday","4","2015","3","2015","3","2015",1,30,1.03402888429332
"15508",0,8630.17962256524,"US","Other",4,4,23,17,"Wednesday","Friday","Monday","8","2014","7","2014","7","2014",3,30,31.233031014998
"15509",0,1027.40233601967,"US","Other",2,2,13,7,"Friday","Tuesday","Wednesday","8","2014","7","2014","7","2014",0,30,7.70551752014754
"15510",0,52909.3356912067,"US","Other",9,9,19,12,"Wednesday","Monday","Monday","12","2016","10","2016","11","2016",34,30,2614.53154837214
"15511",0,9246.62102417705,"US","Other",1,1,20,15,"Sunday","Tuesday","Friday","8","2014","7","2014","7","2014",3,30,25.6850584004918
"15512",0,66826.7350928641,"US","Other",4,4,13,11,"Thursday","Friday","Monday","3","2016","12","2015","2","2016",59,31,1053.54918132942
"15513",0,6539.55196558651,"NL","Other",6,6,25,17,"Wednesday","Saturday","Monday","3","2016","2","2016","2","2016",1,30,48.8349217986315
"15514",0,20592.7007422473,"US","Other",5,3,24,16,"Sunday","Thursday","Friday","12","2014","10","2014","11","2014",7,30,15.4445255566855
"15515",0,51048.9890875008,"US","Other",8,8,20,15,"Wednesday","Tuesday","Monday","5","2016","4","2016","4","2016",5,30,139.874230099752
"15516",0,20592.7007422473,"US","Other",8,7,14,9,"Friday","Sunday","Thursday","12","2014","10","2014","11","2014",18,28,315.754744714459
"15517",0,25823.801339418,"US","Other",11,10,19,14,"Sunday","Tuesday","Sunday","5","2015","3","2015","4","2015",25,35,55.3385167239333
"15518",0,9306.25995863986,"US","Other",3,3,20,14,"Friday","Friday","Friday","4","2015","2","2015","3","2015",13,49,0
"15519",0,34083.0892436889,"US","Other",3,3,24,16,"Friday","Friday","Wednesday","1","2015","12","2014","12","2014",11,30,1.03282088617239
"15520",0,2312.97699856164,"US","Other",6,6,19,12,"Thursday","Monday","Tuesday","1","2017","9","2016","12","2016",85,30,266.327568892351
"15521",0,12441.7740989709,"US","Other",9,8,19,12,"Wednesday","Saturday","Monday","3","2015","1","2015","2","2015",9,44,1.03681450824757
"15522",0,809.851254179436,"GB","Other",8,6,20,16,"Sunday","Thursday","Friday","2","2015","1","2015","1","2015",1,30,9.04314943321959
"15523",0,14383.6327042754,"US","Other",5,5,17,12,"Thursday","Tuesday","Tuesday","8","2014","5","2014","7","2014",42,30,8.6862197499845
"15524",0,2084.23695085301,"CA","Other",6,6,21,16,"Sunday","Saturday","Friday","3","2015","2","2014","2","2015",377,29,173.666430131468
"15525",0,10368.1450824757,"US","Other",6,5,22,11,"Thursday","Sunday","Tuesday","3","2015","2","2015","2","2015",2,30,47.9008302810378
"15526",0,151760.125385611,"US","Other",2,2,20,16,"Monday","Wednesday","Thursday","10","2016","3","2016","9","2016",176,38,70.085585178082
"15527",0,25464.2945102836,"US","Other",9,9,25,16,"Sunday","Monday","Friday","6","2016","5","2016","5","2016",25,30,67.4803804522515
"15528",0,5137.01168009836,"US","Other",7,7,24,15,"Friday","Tuesday","Wednesday","10","2015","9","2015","9","2015",1,30,10.2740233601967
"15529",0,1008.18093923793,"US","Other",3,3,26,18,"Monday","Saturday","Wednesday","12","2016","11","2016","11","2016",4,25,0
"15530",0,288688.878284112,"CA","Other",2,2,26,16,"Sunday","Tuesday","Wednesday","9","2014","7","2014","7","2014",0,60,10.2740233601967
"15531",0,58439.3703024917,"NL","Other",11,7,22,19,"Sunday","Sunday","Friday","11","2014","10","2014","10","2014",19,30,0
"15532",0,1656.55239489626,"GB","Other",7,5,25,17,"Saturday","Wednesday","Thursday","10","2014","9","2014","9","2014",0,30,0
"15533",0,70240.739643217,"US","Other",3,3,17,13,"Tuesday","Tuesday","Friday","6","2015","12","2014","4","2015",115,60,103.295205357672
"15534",0,15401.048592059,"US","Other",4,4,24,15,"Saturday","Friday","Tuesday","3","2016","1","2016","1","2016",3,60,14.374312019255
"15535",0,2562.73289837964,"US","Other",7,5,15,11,"Sunday","Wednesday","Friday","9","2015","7","2015","8","2015",29,30,21.7832296362269
"15536",0,1222.28613649361,"US","Other",6,6,7,7,"Wednesday","Friday","Monday","6","2016","5","2016","5","2016",2,30,40.7428712164537
"15537",0,20262.9179244995,"CA","Other",10,9,23,18,"Thursday","Saturday","Sunday","6","2015","7","2014","4","2015",274,60,1155.35687192556
"15538",0,168727.796421083,"BE","Other",6,6,22,17,"Monday","Thursday","Friday","9","2015","7","2015","7","2015",0,45,51.2544426426477
"15539",0,184109.837107926,"NL","Other",9,8,19,16,"Tuesday","Sunday","Tuesday","7","2015","6","2015","6","2015",1,21,1.02671497157668
"15540",0,10250.9315935185,"US","Other",3,3,8,7,"Wednesday","Monday","Monday","9","2015","6","2014","8","2015",440,30,171.532255331544
"15541",0,2052.77348958706,"US","Other",7,6,17,13,"Thursday","Wednesday","Thursday","10","2015","8","2015","10","2015",43,28,38.1815869063193
"15542",0,11372.0561279326,"CA","Other",2,2,18,14,"Thursday","Monday","Saturday","4","2016","1","2016","2","2016",33,40,28.3585247637667
"15543",0,25689.1687020972,"US","Other",3,3,23,17,"Friday","Monday","Wednesday","9","2014","7","2014","8","2014",8,30,8.5630562340324
"15544",0,15428.3799334826,"US","Other",6,4,23,12,"Saturday","Thursday","Thursday","7","2014","6","2014","6","2014",0,30,1.02855866223217
"15545",1,5131.71033351327,"AU","Other",3,3,19,13,"Wednesday","Monday","Monday","2","2015","12","2014","1","2015",27,30,80.7721201152481
"15546",1,1175.60015496029,"AU","Other",4,4,13,8,"Saturday","Friday","Saturday","5","2015","3","2015","4","2015",22,28,26.0105402285825
"15547",1,2202.82559213805,"SE","Other",7,6,19,12,"Saturday","Thursday","Thursday","1","2017","12","2016","12","2016",0,30,390.411889354531
"15548",1,55761.914879521,"NL","Other",10,8,21,14,"Tuesday","Sunday","Tuesday","3","2016","1","2016","2","2016",8,35,93.1555326732702
"15549",1,5137.01168009836,"US","Other",6,6,25,14,"Tuesday","Monday","Wednesday","10","2015","9","2015","9","2015",9,27,42.0998773323003
"15550",1,4159.60928576962,"SE","Other",8,7,16,15,"Wednesday","Saturday","Monday","9","2015","6","2015","8","2015",37,30,609.194349704334
"15551",1,15376.3973902778,"US","Other",10,9,16,11,"Saturday","Thursday","Tuesday","10","2015","5","2015","8","2015",95,39,96.8337685819558
"15552",1,18532.0230716326,"US","Other",1,1,19,13,"Thursday","Tuesday","Tuesday","6","2015","2","2015","5","2015",90,30,68.2026348204447
